id,lat,long,name,city,craving,tags,addresse
476,48.874196,2.3723359,Mulino Mulé,75010,table,italien,"25 Rue Sainte-Marthe, 75010 Paris"
477,48.858096,2.367436,Soon Grill,75003,table,japonais,"78 Rue des Tournelles, 75003 Paris"
479,48.8651318,2.3691085,Le Rigmarole,75011,table,neobistrot,"10 Rue du Grand Prieuré, 75011 Paris"
480,48.87304,2.344001,SUMiBi KAZ,75009,table,japonais,"11 Rue de Montyon, 75009 Paris"
484,48.8732428,2.350105,Restaurant eels,75010,table,neobistrot,"27 Rue d'Hauteville, 75010 Paris"
487,48.8672796,2.2976485,Restaurant Substance,75116,table,etoile/coeur/gastronomique,"18 Rue de Chaillot, 75016 Paris"
488,48.858151,2.388381,Yard,75011,table,neobistrot,"6 Rue de Mont-Louis, 75011 Paris"
489,48.8903736,2.3328924,Ētsi,75018,table,neobistrot/grec,"23 Rue Eugène Carrière, 75018 Paris"
491,48.879344,2.321114,Mandoobar,75008,table,asiatique,"7 Rue d'Édimbourg, 75008 Paris"
500,48.8527401,2.3849339,Le Chardenoux Cyril Lignac,75011,table,neobistrot,"1 Rue Jules Vallès, 75011 Paris"
511,48.8709479,2.3416459,Adar,75002,table,neobistrot/traiteur,"49 Pass. des Panoramas, 75002 Paris"
512,48.8725686,2.3445239,Pastore,75009,table,neobistrot/italien/coeur,"26 Rue Bergère, 75009 Paris"
520,48.8524313,2.3849962,Bistrot Paul Bert,75011,table,brasserie,"18 Rue Paul Bert, 75011 Paris"
522,48.8670442,2.3345176,Kanadé,75001,table,japonais,"8 Rue de Ventadour, 75001 Paris"
523,48.8584072,2.3849879,Café Mirabelle,75011,cafe,,"16 Rue la Vacquerie, 75011 Paris"
524,48.8711998,2.35184,TANGUY,75010,table,crepes/coeur,"15 Rue de l'Échiquier, 75010 Paris"
527,48.8637982,2.3791662,Maison Sota,75011,table,neobistrot,"3 Rue Saint-Hubert, 75011 Paris"
530,48.8745278,2.3736842,Candide,75010,table,neobistrot,"35 Rue de Sambre-et-Meuse, 75010 Paris"
531,48.8932088,2.3373063,Le Maquis,75018,table,neobistrot/coeur,"53 Rue des Cloys, 75018 Paris"
