id,lat,long,name,city,craving,tags,addresse
527,48.8637982,2.3791662,Maison Sota,75011,table,neobistrot,"3 Rue Saint-Hubert, 75011 Paris"
530,48.8745278,2.3736842,Candide,75010,table,neobistrot,"35 Rue de Sambre-et-Meuse, 75010 Paris"
531,48.8932088,2.3373063,Le Maquis,75018,table,neobistrot/coeur,"53 Rue des Cloys, 75018 Paris"
533,48.8729603,2.363288,Early June,75010,table,neobistrot,"19 Rue Jean Poulmarch, 75010 Paris"
534,48.8522001,2.3730884,Brasserie Rosie,75011,table,brasserie,"53 Rue du Faubourg Saint-Antoine, 75011 Paris"
537,48.854484,2.332758,Yen,75006,table,japonais,"22 Rue Saint-Benoît, 75006 Paris"
538,48.8611398,2.3635477,OGATA Paris,75003,table,japonais,"16 Rue Debelleyme, 75003 Paris"
539,48.8636462,2.3724034,FIEF (Fait Ici En France),75011,table,neobistrot,"44 Rue de la Folie Méricourt, 75011 Paris"
540,48.8659211,2.3490668,Shabour,75002,table,orient/etoile/gastronomique,"19 Rue Saint-Sauveur, 75002 Paris"
542,48.8641807,2.3679156,Le Tagine,75011,table,orient,"13 Rue de Crussol, 75011 Paris"
543,48.8878044,2.3347482,Chantoiseau,75018,table,neobistrot,"63 Rue Lepic, 75018 Paris"
544,48.9042407,2.3390165,Bonne Aventure,93400,table,neobistrot/vins/coeur,"59 Rue des Rosiers, 93200 Saint Ouen"
547,48.8578452,2.3965621,Caché,75020,table,neobistrot,"13 Vla Riberolle, 75020 Paris"
548,48.8814656,2.3183193,Le Bar à sushi Izumi,75008,table,japonais,"55 Bd des Batignolles, 75008 Paris"
549,48.8634143,2.3798308,Restaurant Aglio e Olio,75011,table,neobistrot/italien,"5 Rue Guillaume Bertrand, 75011 Paris"
551,48.86116,2.3782597,Krügen Général,75011,table,crepes,"4 Rue du Général Renault, 75011 Paris"
552,48.8681295,2.373926,Krügen Roi,75011,table,crepes,"58 Rue de la Fontaine au Roi, 75011 Paris"
553,48.871995,2.36692,ÅKE - Table & Vin,75010,table,neobistrot/vins,"8 Rue Marie et Louise, 75010 Paris"
